sampleID	elevation	host	obs	shannon
sample1	600	EA	417	5.886450494
sample2	600	EA	352	5.972995006
sample3	600	EA	538	6.08485934
sample4	600	EA	278	4.283397295
sample5	600	EA	295	5.130257826
sample6	600	AL	359	4.84220694
sample7	600	AL	423	6.002042077
sample8	600	AL	307	5.736606123
sample9	600	AL	382	5.574661862
sample10	600	AL	383	5.685759283
sample11	700	EA	362	5.59293919
sample12	700	EA	320	3.601111107
sample13	700	EA	365	5.558500049
sample14	700	EA	451	6.115118515
sample15	700	EA	277	5.852059839
sample16	700	AL	370	5.70548246
sample17	700	AL	304	5.520811379
sample18	700	AL	458	5.471762471
sample19	700	AL	319	5.606091801
sample20	700	AL	539	6.803026444
sample21	800	EA	263	4.905839994
sample22	800	EA	283	5.336247612
sample23	800	EA	303	5.558886644
sample24	800	EA	301	5.936179067
sample25	800	EA	370	5.898962578
sample26	800	AL	486	6.777016617
sample27	800	AL	335	5.918202207
sample28	800	AL	356	5.691950054
sample29	800	AL	320	5.20126561
sample30	800	AL	456	5.874895997
sample31	900	EA	277	5.459772509
sample32	900	EA	402	6.025372304
sample33	900	EA	441	5.990357811
sample34	900	EA	478	6.927490726
sample35	900	EA	360	4.043571226
sample36	900	AL	247	4.335103201
sample37	900	AL	260	5.095342146
sample38	900	AL	378	6.316086095
sample39	900	AL	392	6.292160447
sample40	900	AL	327	5.157316342
sample41	1000	EA	431	6.053363494
sample42	1000	EA	521	6.810171857
sample43	1000	EA	431	6.072973005
sample44	1000	EA	456	6.359911913
sample45	1000	EA	528	6.840896082
sample46	1000	AL	436	5.908808019
sample47	1000	AL	505	6.310783415
sample48	1000	AL	270	4.850866166
sample49	1000	AL	513	6.097502795
sample50	1000	AL	365	4.746273523
sample51	1100	EA	423	5.553044916
sample52	1100	EA	383	5.61969862
sample53	1100	EA	371	5.832995116
sample54	1100	EA	505	6.438445421
sample55	1100	EA	379	4.863219637
sample56	1100	AL	399	5.063447893
sample57	1100	AL	438	5.859267772
sample58	1100	AL	342	5.16843316
sample59	1100	AL	373	5.342118009
sample60	1100	AL	398	6.06442378
sample61	1200	EA	815	7.058119813
sample62	1200	EA	463	6.146362167
sample63	1200	EA	587	6.570951117
sample64	1200	EA	424	4.885479038
sample65	1200	EA	476	6.060394963
sample66	1200	AL	512	5.993318901
sample67	1200	AL	597	6.642434501
sample68	1200	AL	553	6.62428443
sample69	1200	AL	538	6.350851352
sample70	1200	AL	829	7.504959496
sample71	1300	EA	512	5.366458332
sample72	1300	EA	779	6.476771496
sample73	1300	EA	680	5.97849042
sample74	1300	EA	586	6.388047014
sample75	1300	EA	418	5.303268521
sample76	1300	AL	543	6.550991668
sample77	1300	AL	538	5.861495103
sample78	1300	AL	539	5.970233936
sample79	1300	AL	579	6.818222955
sample80	1300	AL	545	5.966510089
sample81	1400	EA	581	6.101038311
sample82	1400	EA	586	5.856609627
sample83	1400	EA	599	6.493240864
sample84	1400	EA	854	7.454309218
sample85	1400	EA	618	6.966128372
sample86	1400	AL	539	6.293123297
sample87	1400	AL	617	5.944393705
sample88	1400	AL	801	6.963512019
sample89	1400	AL	733	6.889554461
sample90	1400	AL	799	7.339047943
sample91	1500	EA	677	6.636622104
sample92	1500	EA	615	6.878150866
sample93	1500	EA	741	7.056532055
sample94	1500	EA	728	6.946686715
sample95	1500	EA	488	5.743295589
sample96	1500	AL	686	7.419835161
sample97	1500	AL	625	6.358810001
sample98	1500	AL	645	6.486524811
sample99	1500	AL	565	6.216428252
sample100	1500	AL	435	4.541873002
sample101	1600	EA	515	5.347345585
sample102	1600	EA	597	6.338983169
sample103	1600	EA	549	6.487495613
sample104	1600	EA	510	6.119629855
sample105	1600	EA	529	6.780444984
sample106	1600	AL	447	6.298869531
sample107	1600	AL	718	6.610619918
sample108	1600	AL	338	5.657855006
sample109	1600	AL	540	6.452155953
sample110	1600	AL	440	6.116656373
sample111	1700	EA	545	6.993264552
sample112	1700	EA	571	6.759937476
sample113	1700	EA	493	5.909241205
sample114	1700	EA	558	5.757822562
sample115	1700	EA	508	6.207346551
sample116	1700	AL	584	6.577119394
sample117	1700	AL	653	6.680899572
sample118	1700	AL	513	6.537500079
sample119	1700	AL	482	6.29786942
sample120	1700	AL	496	5.856553227
sample121	1800	EA	348	4.019109631
sample122	1800	EA	509	6.028378012
sample123	1800	EA	571	6.638060405
sample124	1800	EA	464	6.475957788
sample125	1800	EA	459	5.972787625
sample126	1800	AL	539	6.854924417
sample127	1800	AL	494	6.188936231
sample128	1800	AL	479	6.196594458
sample129	1800	AL	381	6.232750798
sample130	1800	AL	521	6.174907482
sample131	1900	EA	505	6.206671886
sample132	1900	EA	596	6.63599644
sample133	1900	EA	489	6.072096615
sample134	1900	EA	627	7.167445969
sample135	1900	EA	622	6.299403786
sample136	1900	AL	560	6.32706285
sample137	1900	AL	518	6.015635129
sample138	1900	AL	565	6.860492017
sample139	1900	AL	625	6.463271326
sample140	1900	AL	601	6.523984849
sample141	2000	EA	653	7.145527918
sample142	2000	EA	841	6.792515095
sample143	2000	EA	621	6.65344689
sample144	2000	EA	424	5.764393226
sample145	2000	EA	725	6.84185987
sample146	2000	AL	474	5.567017215
sample147	2000	AL	596	6.531851365
sample148	2000	AL	771	7.339566974
sample149	2000	AL	831	7.397544256
sample150	2000	AL	693	6.878750288
sample151	2100	EA	497	6.279283426
sample152	2100	EA	671	6.972555867
sample153	2100	EA	642	6.87573279
sample154	2100	EA	678	7.01430938
sample155	2100	EA	658	6.988770659
sample156	2100	AL	633	5.982205948
sample157	2100	AL	590	6.562472629
sample158	2100	AL	509	6.600539073
sample159	2100	AL	596	6.399305675
sample160	2100	AL	544	5.511567938
sample161	2200	EA	471	6.267205078
sample162	2200	EA	474	6.403338853
sample163	2200	EA	504	6.674192288
sample164	2200	EA	364	5.584361446
sample165	2200	EA	423	5.85451073
sample166	2200	AL	387	4.861047611
sample167	2200	AL	562	6.530005439
sample168	2200	AL	407	5.927011145
sample169	2200	AL	505	6.027698299
sample170	2200	AL	554	6.434310349
sample171	2300	EA	427	5.69331325
sample172	2300	EA	543	5.95662391
sample173	2300	EA	517	5.013658118
sample174	2300	EA	471	5.373829672
sample175	2300	EA	525	6.4642019
sample176	2300	AL	390	5.678473673
sample177	2300	AL	436	6.555872246
sample178	2300	AL	339	5.335522073
sample179	2300	AL	417	5.442716134
sample180	2300	AL	522	5.984577606
sample181	2400	EA	514	5.505634383
sample182	2400	EA	581	6.514090521
sample183	2400	EA	462	6.087753059
sample184	2400	EA	578	7.155195063
sample185	2400	EA	549	6.774791606
sample186	2400	AL	330	5.8744862
sample187	2400	AL	457	5.353683741
sample188	2400	AL	431	5.556855328
sample189	2400	AL	332	5.723672686
sample190	2400	AL	296	4.592916472
