	elevation	host
sample1	600	EA
sample2	600	EA
sample3	600	EA
sample4	600	EA
sample5	600	EA
sample6	600	AL
sample7	600	AL
sample8	600	AL
sample9	600	AL
sample10	600	AL
sample11	700	EA
sample12	700	EA
sample13	700	EA
sample14	700	EA
sample15	700	EA
sample16	700	AL
sample17	700	AL
sample18	700	AL
sample19	700	AL
sample20	700	AL
sample21	800	EA
sample22	800	EA
sample23	800	EA
sample24	800	EA
sample25	800	EA
sample26	800	AL
sample27	800	AL
sample28	800	AL
sample29	800	AL
sample30	800	AL
sample31	900	EA
sample32	900	EA
sample33	900	EA
sample34	900	EA
sample35	900	EA
sample36	900	AL
sample37	900	AL
sample38	900	AL
sample39	900	AL
sample40	900	AL
sample41	1000	EA
sample42	1000	EA
sample43	1000	EA
sample44	1000	EA
sample45	1000	EA
sample46	1000	AL
sample47	1000	AL
sample48	1000	AL
sample49	1000	AL
sample50	1000	AL
sample51	1100	EA
sample52	1100	EA
sample53	1100	EA
sample54	1100	EA
sample55	1100	EA
sample56	1100	AL
sample57	1100	AL
sample58	1100	AL
sample59	1100	AL
sample60	1100	AL
sample61	1200	EA
sample62	1200	EA
sample63	1200	EA
sample64	1200	EA
sample65	1200	EA
sample66	1200	AL
sample67	1200	AL
sample68	1200	AL
sample69	1200	AL
sample70	1200	AL
sample71	1300	EA
sample72	1300	EA
sample73	1300	EA
sample74	1300	EA
sample75	1300	EA
sample76	1300	AL
sample77	1300	AL
sample78	1300	AL
sample79	1300	AL
sample80	1300	AL
sample81	1400	EA
sample82	1400	EA
sample83	1400	EA
sample84	1400	EA
sample85	1400	EA
sample86	1400	AL
sample87	1400	AL
sample88	1400	AL
sample89	1400	AL
sample90	1400	AL
sample91	1500	EA
sample92	1500	EA
sample93	1500	EA
sample94	1500	EA
sample95	1500	EA
sample96	1500	AL
sample97	1500	AL
sample98	1500	AL
sample99	1500	AL
sample100	1500	AL
sample101	1600	EA
sample102	1600	EA
sample103	1600	EA
sample104	1600	EA
sample105	1600	EA
sample106	1600	AL
sample107	1600	AL
sample108	1600	AL
sample109	1600	AL
sample110	1600	AL
sample111	1700	EA
sample112	1700	EA
sample113	1700	EA
sample114	1700	EA
sample115	1700	EA
sample116	1700	AL
sample117	1700	AL
sample118	1700	AL
sample119	1700	AL
sample120	1700	AL
sample121	1800	EA
sample122	1800	EA
sample123	1800	EA
sample124	1800	EA
sample125	1800	EA
sample126	1800	AL
sample127	1800	AL
sample128	1800	AL
sample129	1800	AL
sample130	1800	AL
sample131	1900	EA
sample132	1900	EA
sample133	1900	EA
sample134	1900	EA
sample135	1900	EA
sample136	1900	AL
sample137	1900	AL
sample138	1900	AL
sample139	1900	AL
sample140	1900	AL
sample141	2000	EA
sample142	2000	EA
sample143	2000	EA
sample144	2000	EA
sample145	2000	EA
sample146	2000	AL
sample147	2000	AL
sample148	2000	AL
sample149	2000	AL
sample150	2000	AL
sample151	2100	EA
sample152	2100	EA
sample153	2100	EA
sample154	2100	EA
sample155	2100	EA
sample156	2100	AL
sample157	2100	AL
sample158	2100	AL
sample159	2100	AL
sample160	2100	AL
sample161	2200	EA
sample162	2200	EA
sample163	2200	EA
sample164	2200	EA
sample165	2200	EA
sample166	2200	AL
sample167	2200	AL
sample168	2200	AL
sample169	2200	AL
sample170	2200	AL
sample171	2300	EA
sample172	2300	EA
sample173	2300	EA
sample174	2300	EA
sample175	2300	EA
sample176	2300	AL
sample177	2300	AL
sample178	2300	AL
sample179	2300	AL
sample180	2300	AL
sample181	2400	EA
sample182	2400	EA
sample183	2400	EA
sample184	2400	EA
sample185	2400	EA
sample186	2400	AL
sample187	2400	AL
sample188	2400	AL
sample189	2400	AL
sample190	2400	AL
